outgoing_site_id,Start_Time_MM_DD_YYYY,Start_Time_HH_MM_SS_s,Weather,Total Calls,Traffic,lat,long,Call Dropped
1717,20170101,00:00 to 4:00,Smoke,499,Low,12.974193,77.60121,16
1717,20170101,4:00 to 8:00,Shallow Fog,554,Medium,12.974193,77.60121,44
1717,20170101,8:00 to 12:00,Shallow Fog,301,Low,12.974193,77.60121,17
1717,20170101,12:00 to 16:00,Fog,514,Low,12.974193,77.60121,16
1717,20170101,16:00 to 20:00,Fog,262,Low,12.974193,77.60121,14
1717,20170101,20:00 to 23:59,Fog,587,Low,12.974193,77.60121,15
1717,20170102,00:00 to 4:00,Partly Cloudy,576,High,12.974193,77.60121,57
1717,20170102,4:00 to 8:00,Shallow Fog,544,Low,12.974193,77.60121,16
1717,20170102,8:00 to 12:00,Fog,247,Medium,12.974193,77.60121,46
1717,20170102,12:00 to 16:00,Fog,378,Medium,12.974193,77.60121,37
1717,20170102,16:00 to 20:00,Fog,327,Low,12.974193,77.60121,17
1717,20170102,20:00 to 23:59,Fog,642,Low,12.974193,77.60121,15
1717,20170103,00:00 to 4:00,Shallow Fog,278,Medium,12.974193,77.60121,50
1717,20170103,4:00 to 8:00,Shallow Fog,315,Medium,12.974193,77.60121,43
1717,20170103,8:00 to 12:00,Smoke,422,High,12.974193,77.60121,60
1717,20170103,12:00 to 16:00,Mostly Cloudy,626,Medium,12.974193,77.60121,44
1717,20170103,16:00 to 20:00,Mostly Cloudy,502,High,12.974193,77.60121,60
1717,20170103,20:00 to 23:59,Shallow Fog,320,High,12.974193,77.60121,63
1717,20170104,00:00 to 4:00,Smoke,439,Medium,12.974193,77.60121,38
1717,20170104,4:00 to 8:00,Shallow Fog,496,Medium,12.974193,77.60121,51
1717,20170104,8:00 to 12:00,Fog,616,High,12.974193,77.60121,64
1717,20170104,12:00 to 16:00,Shallow Fog,466,Medium,12.974193,77.60121,34
1717,20170105,4:00 to 8:00,Volcanic Ash,509,Medium,12.974193,77.60121,43
1717,20170106,16:00 to 20:00,Fog,581,Medium,12.974193,77.60121,39
1717,20170106,20:00 to 23:59,Fog,389,High,12.974193,77.60121,59
1717,20170107,00:00 to 4:00,Shallow Fog,396,Medium,12.974193,77.60121,32
1717,20170107,4:00 to 8:00,Shallow Fog,532,Medium,12.974193,77.60121,31
1717,20170107,8:00 to 12:00,Shallow Fog,540,Medium,12.974193,77.60121,29
1717,20170107,12:00 to 16:00,Shallow Fog,335,Low,12.974193,77.60121,22
1717,20170107,16:00 to 20:00,Shallow Fog,387,Medium,12.974193,77.60121,27
1717,20170107,20:00 to 23:59,Shallow Fog,642,Low,12.974193,77.60121,19
1717,20170108,00:00 to 4:00,Smoke,343,High,12.974193,77.60121,57
1717,20170108,4:00 to 8:00,Shallow Fog,437,Medium,12.974193,77.60121,27
1717,20170108,8:00 to 12:00,Shallow Fog,344,Low,12.974193,77.60121,22
