date,time,outgoing_site_id,incoming_site_id,total number_of_calls,total call duration (min)
20170101,0:30,21106,57151,502,556
20170101,1:30,21106,3066,449,286
20170101,2:30,21106,30178,369,383
20170101,3:30,21106,1717,443,623
20170101,4:30,21106,63383,537,417
20170101,5:30,21106,60311,563,448
20170101,6:30,21106,33253,498,594
20170101,7:30,21106,15121,165,238
20170101,8:30,21106,31352,431,578
20170101,9:30,21106,10481,527,486
20170101,10:30,21106,23773,263,400
20170101,11:30,21106,47711,335,251
20170101,12:30,21106,37621,580,597
20170101,13:30,21106,33397,633,533
20170101,14:30,21106,14388,426,522
20170101,15:30,21106,48877,129,588
20170101,16:30,21106,20679,331,300
20170101,17:30,21106,20678,376,300
20170101,18:30,21106,14217,640,593
20170101,19:30,21106,21495,439,498
20170101,20:30,21106,34892,201,256
20170101,21:30,21106,31351,503,637
20170101,22:30,21106,53132,540,640
20170101,23:30,21106,1716,184,280
20170102,0:30,21106,24567,508,599
20170102,1:30,21106,45552,615,268
20170102,2:30,21106,55771,192,393
20170102,3:30,21106,57171,424,634
20170102,4:30,21106,17542,643,376
20170102,5:30,21106,10362,465,293
20170102,6:30,21106,14591,285,504
20170102,7:30,21106,6057,299,427
20170102,8:30,21106,2626,342,450
20170102,9:30,21106,14219,487,441
20170102,10:30,21106,24059,466,245
20170102,11:30,21106,14380,284,403
20170102,12:30,21106,24170,568,295
20170102,13:30,21106,57212,387,292
20170102,14:30,21106,28535,283,472
20170102,15:30,21106,18539,216,260
20170102,16:30,21106,36703,447,589
20170102,17:30,21106,16505,434,504
20170102,18:30,21106,30177,515,373
20170102,19:00,21106,24053,620,272
20170102,19:30,21106,16543,436,540
20170102,20:30,21106,50792,556,530
20170102,21:30,21106,11741,206,331
20170102,22:30,21106,45781,429,587
20170102,23:30,21106,19351,381,559
20170103,0:30,21106,32052,383,583
20170103,1:30,21106,11742,145,446
20170103,2:30,21106,56292,650,339
20170103,3:30,21106,42072,183,283
20170103,4:30,21106,21313,241,481
20170103,5:30,21106,30551,166,545
20170103,6:30,21106,14387,143,349
20170103,7:30,21106,57173,466,509
20170103,9:30,21106,11173,464,242
20170103,10:30,21106,34068,496,251
20170103,11:30,21106,23801,169,264
20170103,12:30,21106,31013,279,613
20170103,13:30,21106,50033,228,557
20170103,14:30,21106,15742,283,351
20170103,15:30,21106,3961,610,251
20170103,16:30,21106,32042,405,625
20170103,17:30,21106,11812,469,610
20170103,18:30,21106,60116,542,406
20170103,19:30,21106,35072,479,430
20170103,20:30,21106,18011,175,250
20170103,21:30,21106,45574,634,471
20170103,22:30,21106,57161,323,409
20170103,23:30,21106,21381,425,430
20170104,0:30,21106,53353,570,257
20170104,1:30,21106,51251,346,544
20170104,2:30,21106,21761,394,372
20170104,3:30,21106,2911,601,578
20170104,4:30,21106,29921,473,585
20170104,5:30,21106,50361,509,338
20170104,6:30,21106,29923,407,278
20170104,7:30,21106,29193,585,536
20170104,8:30,21106,49053,502,269
20170104,9:30,21106,10512,460,257
20170104,10:30,21106,16511,461,326
20170104,11:30,21106,24009,178,623
20170104,12:30,21106,34159,462,535
20170104,13:30,21106,60622,311,599
20170104,14:30,21106,21391,552,277
20170104,15:30,21106,12822,326,578
20170104,16:30,21106,39036,528,487
20170104,17:30,21106,18871,638,596
20170105,13:30,21106,24568,289,483
20170106,18:30,21106,63371,399,553
20170106,19:00,21106,50803,389,569
20170106,19:30,21106,53821,519,383
20170106,20:00,21106,54142,352,560
20170106,20:30,21106,2013,497,405
20170106,21:30,21106,16530,620,504
20170106,22:30,21106,12651,542,486
20170106,23:30,21106,47962,127,347
20170107,0:30,21106,29902,343,260
20170107,1:30,21106,29901,593,618
20170107,2:30,21106,29903,389,372
20170107,3:30,21106,9603,305,634
20170107,4:30,21106,26367005,244,484
20170107,5:30,21106,26367003,554,556
20170107,6:30,21106,26366104,331,343
20170107,7:30,21106,26366105,367,351
20170107,8:21,21106,26366103,435,495
20170107,9:30,21106,26365945,539,529
20170107,10:30,21106,26366444,139,474
20170107,11:30,21106,26366345,434,449
20170107,12:30,21106,26366473,458,612
20170107,13:30,21106,26366343,514,347
20170107,14:30,21106,26366205,160,459
20170107,15:30,21106,26365703,473,629
20170107,16:30,21106,26365703,515,497
20170107,17:30,21106,26365704,630,306
20170107,18:30,21106,26366543,354,579
20170107,19:30,21106,26366544,399,316
20170107,20:30,21106,26365833,385,471
20170107,21:30,21106,26366545,614,245
20170107,22:30,21106,23242,211,350
20170108,0:30,21106,26374826,470,339
20170108,1:30,21106,26365723,610,428
20170108,2:30,21106,20561,395,537
20170108,3:30,21106,26365645,249,286
20170108,4:30,21106,26365475,439,307
20170108,5:30,21106,26365735,172,514
20170108,6:30,21106,26365473,388,241
20170108,7:30,21106,26366825,447,496
20170108,8:30,21106,26366823,232,612
20170108,9:30,21106,26365644,318,413
20170108,10:30,21106,26365643,351,647
20170108,11:30,21106,26366764,155,504
20170108,12:30,21106,26366763,381,535
20170108,13:30,21106,26366765,267,346
20170108,14:30,21106,26366335,473,382
20170108,15:30,21106,26366024,539,298
20170108,16:30,21106,26366025,224,354
20170108,17:30,21106,26366474,426,558
20170108,18:30,21106,26367105,420,415
20170108,19:30,21106,20743,336,439
20170108,20:30,21106,26366935,509,346
20170108,21:30,21106,26368338,549,474
20170108,22:30,21106,26368336,613,453
20170108,23:30,21106,26366828,577,382
20170109,0:30,21106,45502,503,289
20170109,1:30,21106,45151,605,320
20170109,2:30,21106,45153,445,499
20170109,3:30,21106,42182,303,413
20170109,4:30,21106,42183,552,383
20170109,5:30,21106,45321,625,477
20170109,6:30,21106,45323,354,531
20170109,7:30,21106,32631,413,501
20170109,8:30,21106,32632,373,503
20170109,9:30,21106,32633,259,424
20170109,10:30,21106,33071,131,556
20170109,11:30,21106,26359553,647,628
20170109,12:30,21106,26359555,635,288
20170109,13:30,21106,26359503,296,545
20170109,14:30,21106,26359504,598,564
20170109,15:30,21106,26359473,336,353
20170109,16:30,21106,26359474,483,334
20170109,17:30,21106,26359475,405,531
20170109,18:30,21106,26359483,525,327
20170109,19:30,21106,26359515,549,383
20170109,20:30,21106,26359525,127,466
20170109,21:30,21106,26359564,459,289
20170109,22:30,21106,26359563,214,599
20170109,23:30,21106,26359514,182,464
20170110,0:30,21106,26359535,241,639
20170110,1:30,21106,26359493,408,261
20170110,2:30,21106,26359494,481,605
20170110,3:30,21106,26359495,315,306
20170110,4:30,21106,26359615,321,351
20170110,5:30,21106,26359614,466,588
20170110,6:30,21106,26359545,587,500
20170110,7:30,21106,26359613,581,601
20170110,8:30,21106,26359595,453,484
20170110,9:30,21106,26366286,566,406
20170110,10:30,21106,26366288,428,393
20170110,11:30,21106,26366287,460,272
20170110,12:30,21106,46263,254,329
20170110,13:21,21106,46261,524,325
20170110,14:30,21106,29512,234,597
20170110,15:30,21106,30322,415,237
20170110,16:30,21106,30323,431,467
20170110,17:30,21106,30321,363,337
20170110,18:30,21106,44802,461,490
20170110,19:30,21106,47292,490,350
20170110,21:30,21106,42283,165,604
20170110,22:30,21106,42282,270,625
20170110,23:30,21106,40912,504,650
20170111,0:30,21106,42683,231,297
20170111,1:30,21106,46563,495,461
20170111,2:30,21106,46562,558,348
20170111,3:30,21106,59943,179,475
20170111,4:30,21106,59941,567,474
20170111,5:30,21106,32981,469,568
20170111,6:30,21106,32982,187,647
20170111,7:30,21106,44883,400,444
20170111,8:30,21106,44882,377,527
20170111,9:00,21106,42141,448,363
20170111,9:30,21106,42313,297,299
20170111,10:30,21106,47093,168,585
20170111,11:30,21106,47092,244,256
20170111,12:30,21106,47773,365,448
20170111,13:30,21106,48191,225,594
20170111,14:30,21106,49782,616,256
20170111,15:30,21106,41633,569,246
20170111,16:30,21106,41632,200,293
20170111,17:30,21106,40362,634,386
20170111,18:30,21106,46503,594,378
20170111,19:30,21106,46501,596,238
20170111,20:30,21106,46502,450,536
20170111,21:30,21106,53222,501,299
20170111,22:30,21106,53221,459,233
20170111,23:30,21106,46353,640,323
20170112,0:30,21106,46351,504,615
20170112,1:30,21106,26371957,315,486
20170112,2:30,21106,26371958,604,521
20170112,3:30,21106,26371956,200,584
20170112,4:30,21106,26372728,151,364
20170112,5:30,21106,47252,204,607
